id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
62015,"Charming, beautifully & sunny place",301340,Jessica,,Oud-Oost,52.36431,4.93122,Entire home/apt,120,2,36,2021-11-14,0.25,1,0,1,0363 B090 499C D757 7F4F
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,,Centrum-West,52.37828,4.8944,Private room,82,3,228,2021-11-01,1.63,4,0,4,0363 4108 6EC3 C2FF 2493
82482,The Backroom - Central private appt,186729,Shawna,,Centrum-West,52.36968,4.88122,Entire home/apt,119,2,949,2022-08-23,6.94,1,266,74,0363 4ADE 41D8 0E67 1563
91535,"Privat room and shared Houseboat ""Ramona"" centre",494281,Michiel,,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,165,1,90,2022-08-31,0.66,1,66,46,0363 74BA 2074 E0CF 1CB8
97221,Beautiful and spacious room,195859,Gianni,,Slotervaart,52.34801,4.83639,Private room,65,2,239,2022-08-15,1.76,2,279,42,0363 BCBA 6311 3268 DC8C
97476,"Spacious, bright apartment near Vondelpark",485930,Rachel,,Zuid,52.35665,4.86363,Entire home/apt,115,14,55,2022-03-27,0.40,1,0,2,0363 2A58 6164 0E7E 3654
137026,Entire house with garden in De Pijp,670266,Ton & Fede,,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,265,2,101,2022-08-21,0.78,1,57,4,0363 67D6 8568 BA8A F738
155548,Apartment 2 minutes from Centrum!,748161,Maria,,Oud-Oost,52.3642,4.92829,Entire home/apt,200,3,21,2019-08-20,0.16,1,0,0,0363 A562 4D7E 4A91 60DF
162467,Modern app. with brand new design bathroom,776296,Nicole,,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,175,3,63,2022-07-20,0.54,1,238,3,0363 C6C3 A2DC 89AC B72B
168769,"SUPERLOCATED Room in  CANALHOUSE, Private bath",436145,Riks,,Centrum-West,52.37956,4.89359,Private room,88,3,268,2021-10-18,2.01,4,0,5,0363 4108 6EC3 C2FF 2493
169356,"Central,Rooftop 360',Zen,Canal-View, Bright,Quiet",806976,Niccolo,,Centrum-West,52.38104,4.88306,Entire home/apt,195,7,26,2022-04-03,0.19,1,158,3,0363 A281 5E35 1EED A8D9
171054,Spacious apartment next to center,815989,Kamiel,,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,120,3,103,2018-11-28,0.76,1,0,0,0363 BDF7 C0EC 9B88 DECA
179528,Authentic Amsterdam apartment RAI,856540,Pierre,,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,305,21,31,2022-08-12,0.23,2,300,4,0363 1C26 67B4 C610 1758
188347,Clean & Cozy room in The Baarsjes,907405,Yahav,,De Baarsjes - Oud-West,52.3683,4.85446,Private room,88,1,382,2022-09-03,2.84,2,5,13,0363 7C68 38F7 176D 8CDF
189754,Metropolitan B&B centre Amsterdam,915591,Marijn,,Centrum-West,52.37548,4.89398,Entire home/apt,200,2,247,2022-07-13,1.85,1,119,54,0363 08BD B22D FCC2 5F83
193038,Private Loft&Bathroom  Ensuite Studio Ctr Amsterda,935742,Johan,,Centrum-Oost,52.36057,4.89671,Private room,118,3,658,2022-09-05,4.92,1,2,51,0363 E04C 4DED 8CA7 F902
214531,LUXURIOUS GUESTHOUSE in CITY CENTER,1107389,Henry,,Centrum-West,52.37169,4.89446,Private room,115,3,175,2022-06-26,1.33,1,0,6,0363 1939 7BED DDCD 0353
219276,Suite in Canalhouse in the heart of the center,1135329,Amsterdam Boutique Apartments,,Centrum-West,52.36883,4.88749,Private room,300,2,15,2022-06-20,0.12,1,232,5,0363 1179 146A FBDB 79FC
222516,Cosy apartment in A'dam West. Tasteful & quiet.,1155595,Alex,,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,119,3,138,2022-07-11,1.04,1,0,3,0363 6ADC 900E 6878 AC7C
245927,Sonnenberg - Canal side & view - Private & Central,1005087,Wytse,,Centrum-West,52.36815,4.88604,Entire home/apt,551,2,156,2022-09-06,1.24,1,274,44,0363 E3FA A6F6 2112 7636
247805,"Bellavista, central,with canal view",1298735,Carolien,,De Baarsjes - Oud-West,52.36707,4.87348,Private room,122,2,368,2022-09-07,2.80,1,273,25,0363 157A 14AF 5451 77C3
252080,Amazing apartment historical centre,1322517,Evan,,Centrum-Oost,52.36936,4.90963,Entire home/apt,350,4,13,2022-08-06,0.10,1,196,2,0363 4B98 6C27 7CA6 62B9
254800,Amazing apartment in city center,1337537,Diederik,,Centrum-West,52.37122,4.88211,Entire home/apt,296,2,62,2022-09-05,0.55,1,0,12,0363 7E3F 1742 B05C 9E62
255809,stylish apartment free car parking and 2 bikes,1344947,Flo&André,,De Pijp - Rivierenbuurt,52.34416,4.88709,Private room,318,2,132,2022-08-25,1.05,1,291,36,0363 A842 020A 9193 B416
262394,Charming Studio with Roof Terrace,1376607,Martin,,Zuid,52.35695,4.85234,Private room,88,3,113,2019-10-07,0.89,1,0,0,0363 B86D 98DE 3A24 8790
274688,Cozy sleeping in popular Amsterdam West,1435990,Marij,,Bos en Lommer,52.37977,4.85574,Entire home/apt,88,4,43,2019-08-10,0.33,1,0,0,0363 04FA C38F 7362 8C6D
274706,Beautiful central & quiet apartment,1436134,Veronica,,Centrum-West,52.36563,4.88454,Entire home/apt,300,3,39,2022-08-28,0.31,1,5,4,0363 F472 5456 72A2 0AD1
283170,5-bedrooms house; central location,1451657,Marco,,Zuid,52.35435,4.87316,Entire home/apt,1236,2,117,2022-08-06,0.92,1,265,8,0363 0240 34A0 48C3 6D81
286374,Cozy and quiet 1 bedroom apartment,1173052,Anita,,Geuzenveld - Slotermeer,52.37725,4.83307,Entire home/apt,130,4,4,2022-05-20,0.10,1,261,1,0363 3477 6E37 A57B 94F7
286500,"Centre, canal view with private bathroom",1491565,David,,Centrum-West,52.37561,4.9,Private room,171,3,329,2022-09-04,2.55,2,232,37,0363 DF01 FBC0 496B 9730
290701,"Central, big window, rear room with private bath.",1491565,David,,Centrum-West,52.37561,4.9,Private room,161,3,386,2022-09-04,3.01,2,231,44,0363 DF01 FBC0 496B 9730
291752,Cozy & large bohemian style room,1511330,Ton,,Oud-Oost,52.35179,4.91082,Private room,105,3,213,2022-08-01,1.64,1,305,4,0363 6ACC BA1B 12A9 60C1
304082,Quiet studio in the heart of town with Garden!,276068,Mirre,,Centrum-West,52.37239,4.89657,Private room,151,2,192,2022-08-21,1.51,1,263,64,0363 6C40 7413 ADD3 9AF8
304143,Unique Beautiful Houseboat (ship) in Center,1565319,Dick,,Oud-Oost,52.3623,4.92028,Entire home/apt,88,3,52,2020-03-07,0.40,2,0,0,0363AF9644094CEBCE6B
306852,"SunShine, A Sunny Amsterdam Center Special",1141485,Gisèle And Simon,,Centrum-Oost,52.35931,4.89844,Entire home/apt,200,4,31,2022-05-30,0.26,3,0,8,0363 33C3 B936 3911 FC42
307497,Sailing ship group stays in Amsterdam,176944339,Dion,,Centrum-Oost,52.36733,4.92055,Entire home/apt,911,2,102,2022-07-10,0.84,2,298,3,Exempt
307621,"SunBird, Sunny Apt in Quiet Street",1141485,Gisèle And Simon,,Centrum-Oost,52.35871,4.89616,Entire home/apt,125,3,2,2015-10-24,0.02,3,0,0,0363 33C3 B936 3911 FC42
308028,"SunFlower, A Sunny B&B + 2 Bicycles",1141485,Gisèle And Simon,,Centrum-Oost,52.35972,4.8975,Private room,95,3,35,2020-07-28,0.34,3,0,0,0363 33C3 B936 3911 FC42
311124,*historic centre* *bright* *canal view* *jordaan*,1600010,Anke & Robert,,Centrum-West,52.37104,4.87713,Entire home/apt,225,5,85,2022-05-07,0.67,1,324,4,0363 59D8 7D30 6CFA DC81
319985,Elegant Appartement Central Location.,1640702,J,,De Pijp - Rivierenbuurt,52.35669,4.90187,Entire home/apt,239,1,453,2022-09-05,3.60,3,92,64,0363 7D88 E1E8 F521 9A10
327285,beautiful designed ap.+bikes+garden,1672823,Ester,,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,239,2,541,2022-07-11,4.24,2,0,6,0363 8A88 B129 62B5 BD4E
331946,Lovely FAMILY house near Vondelpark,1687595,Sebastiaan,,De Baarsjes - Oud-West,52.3606,4.85739,Entire home/apt,220,2,27,2019-07-21,0.25,1,0,0,0363 A942 21DC C431 1AD1
343094,Amstel Nest - an urban retreat for two,1740785,Rob & Fang,,Oud-Oost,52.35715,4.90926,Private room,99,3,430,2022-08-22,3.41,1,178,40,0363 FC71 F7DB 3AB4 3C42
350271,Luxe boat AMSTERDAM IJBURG!!!,1775032,Agustina,,IJburg - Zeeburgereiland,52.36129,4.98845,Entire home/apt,395,7,4,2022-08-15,0.05,1,257,1,0363 6334 AD6B 47DF B32A
357980,★ STYLISH FAMILY HOME - CITY CENTER,1811745,Marre,,De Baarsjes - Oud-West,52.36348,4.87648,Entire home/apt,255,2,113,2022-08-26,0.89,1,17,20,0363 799F 0610 C059 F9F4
366438,Amsterdam@ city centre & canal view,1849988,Nicolet,,Centrum-Oost,52.36738,4.89671,Private room,136,2,448,2022-08-31,3.53,1,94,32,0363 BD40 0F80 50E7 8478
367107,"IN HISTORIC CENTRE, NEXT TO AMSTEL, PEACEFUL HOME",1853421,Marijn,,Centrum-Oost,52.36263,4.90216,Entire home/apt,199,5,13,2022-06-07,0.15,1,32,2,0363 1761 5C93 2C93 93FE
367491,"Charming,  bright and quiet home center Amsterdam",1855417,Maarten,,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,178,3,74,2022-08-22,0.58,1,0,4,0363 7096 B559 45DB 421C
379885,Private Studio Houseboat *BEST VIEW* @Amstel,1907015,Masha,,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,399,3,86,2022-08-20,0.69,1,18,4,0363 3FE4 07B5 85AA 55F8
402353,Comfortable design apartment with roof terrace,2008330,Lidy,,Watergraafsmeer,52.35338,4.93407,Private room,139,2,237,2022-08-20,1.92,1,103,38,0363 12D8 9BB2 949E 3227
414865,"Charming house, perfect for two!",2063261,Miranda,,Zuid,52.35043,4.84676,Entire home/apt,110,4,8,2022-05-15,0.09,1,3,1,0363 DC39 26C1 3541 47BF
415619,Sunny Amsterdam East Harbor View,1336633,Stephan,,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,152,2,77,2022-08-20,0.61,1,243,7,0363 09A6 8FFA 6EC4 805F
432233,Beautiful apartment @ true center,2144360,Feiko,,Centrum-Oost,52.3609619140625,4.88822603225708,Entire home/apt,250,5,26,2022-08-09,0.21,1,82,2,0363 DA8F B298 31AF FE9B
437757,COOL DESIGN HOUSE with WiFi,2174719,Natalie,,De Pijp - Rivierenbuurt,52.35503,4.90516,Entire home/apt,126,3,142,2022-08-22,1.13,1,7,19,0363 C24E 6CAD 6342 8E17
438089,STUDIO FOR 2 VONDELPARK AMSTERDAM,2064560,Har,,De Baarsjes - Oud-West,52.36116,4.86608,Private room,129,4,216,2022-06-17,1.78,2,273,2,03632826293CAE5B9570
440992,Charming houseboat near Olympic St.,2191136,Jan,,Zuid,52.341621,4.849049,Entire home/apt,200,3,120,2022-06-28,0.96,1,6,10,0363 6532 4C0A A235 9114
441424,Family house in centre of Amsterdam,2193861,Marco,,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,150,3,39,2022-08-20,0.32,1,2,5,0363B9396B464F7B165A
445660,cosy room with private entrance,2202945,Heleen,,De Baarsjes - Oud-West,52.37001,4.85646,Private room,80,2,451,2022-09-01,3.59,1,220,49,0363 1D15 382F 70B9 6319
446999,Guestroom VONDELPARK AMSTERDAM,2064560,Har,,De Baarsjes - Oud-West,52.35927,4.86529,Private room,119,4,331,2022-06-23,2.74,2,42,3,03632826293cae5b9570
450767,Houseboat 'Saturnus' Amsterdam,2238440,Richard En Birgit,,Centrum-Oost,52.37006,4.90081,Entire home/apt,275,3,118,2022-08-17,0.98,2,201,38,0363 DB37 0A9B 68B2 4474
462341,Central 17th Century Unique House,2297302,Milen & Joes,,Centrum-West,52.3739,4.89263,Entire home/apt,176,3,38,2022-08-16,0.42,1,0,4,0363 C83F 9271 BA8F 23ED
481664,Live the life of A'dam on water!,1382273,Eltjo,,Westerpark,52.39134,4.89067,Private room,100,2,490,2022-09-04,4.64,1,250,52,0363FF789E4208718D0D
483779,Spacious studio apartment in A'dam,2395278,Alex,,Slotervaart,52.3509,4.83293,Private room,100,2,37,2017-10-22,0.52,1,0,0,0363 0306 F66C F808 A78D
494433,Clean & Cozy Apartment in The Baarsjes!,907405,Yahav,,De Baarsjes - Oud-West,52.36812,4.85422,Entire home/apt,160,1,30,2022-08-21,0.24,2,5,6,0363 7C68 38F7 176D 8CDF
503629,"Quiet & spacious apt, near Museums & Concertgebouw",2483843,Alban,,Zuid,52.3543,4.87701,Entire home/apt,120,5,11,2019-07-28,0.10,1,0,0,0363 E959 5BC3 BBA6 1C6E
505012,Centre Amsterdam perfect for family,1645998,Djoke,,Centrum-Oost,52.36412,4.88757,Entire home/apt,475,3,61,2022-09-07,0.51,1,92,1,0363 5F8A A57B 18E0 63BB
505650,Stylish Design Apartment,2492723,Irene,,Zuid,52.35482,4.87438,Private room,154,3,145,2022-09-04,1.20,1,172,18,0363 7FD8 55E4 DEOB 30FE
507598,Canal View Apartment! Jordaan Area,2501656,Stephanie,,Centrum-West,52.37694,4.88003,Entire home/apt,600,2,62,2019-06-16,0.50,1,343,0,0363 E6C4 FEF6 F27C DCF5
515088,Familyfriendly Suite incl breakfast,2536879,Hansje,,Noord-Oost,52.39675,4.99603,Private room,120,2,2,2019-03-10,0.04,1,296,0,0363 0A94 AAA2 B228 0695
515749,unique and luxurious houseboat,2540480,Derk,,Centrum-Oost,52.35902,4.89606,Private room,165,3,201,2022-08-27,1.62,1,148,20,0363CB2056581DF32788
515921,Apartment near centre with amazing view over city,2541099,Anne-Marie,,Zuid,52.35022,4.8525,Entire home/apt,159,3,84,2022-08-25,0.67,1,16,7,0363 676E D52D A47D 768A
517996,Bright Canal house with amazing view! @the Jordaan,2550339,Aemilia,,Centrum-West,52.37827,4.88568,Entire home/apt,440,3,23,2020-03-18,0.19,1,174,0,0363 7EFC D96F 5878 3F49
522471,Beautiful 2-storey appartment+roof terrace (135 m),2569931,Harriet,,Bos en Lommer,52.3774,4.851,Entire home/apt,180,6,25,2022-08-18,0.22,1,0,2,0363 1139 9247 9E72 640C
528022,Somewhere Else,2594559,Els,,Westerpark,52.39114,4.88846,Private room,110,2,238,2022-09-04,3.30,1,282,33,0363 9289 A94D 5C21 A579
538723,Beautiful ground floor apartment,356740,Dimphy,,Watergraafsmeer,52.354,4.93965,Entire home/apt,140,5,57,2020-01-01,0.46,1,0,0,0363 D990 F92F DECF 88D4
549310,Family Apartment with Garden,2699033,Barbara,,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,200,2,54,2022-08-10,0.62,1,0,7,0363 35CD 76C9 04D4 1A21
553514,"B&B WestergasTverblijf , Cosy!",618589,Mirjam,,Westerpark,52.38444,4.86916,Entire home/apt,80,2,162,2020-02-16,1.37,1,1,0,0363 AD82 ADCF 17F3 C3EA
556829,"peaceful stay near city centre,  airport & forrest",2737834,Sophia,,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,125,3,26,2022-07-14,0.21,2,0,6,0363 957A 9061 D805 A3EC
568446,Pretty apt in the center of A'dam,2797260,Noriko,,Centrum-Oost,52.37079,4.90153,Entire home/apt,108,3,109,2022-08-04,0.90,1,0,6,0363 2BD0 289D BF51 4A09
570753,Southern Comfort near Vondelpark,2439449,Henriette,,Zuid,52.34904,4.86765,Private room,75,4,378,2022-08-09,3.07,1,211,9,0363 7215 8083 16CB E805
571029,"Spacious, 2 bedrooms & garden close to the centre!",2810037,Rosa,,De Baarsjes - Oud-West,52.3676,4.85976,Entire home/apt,150,3,10,2018-05-27,0.08,1,0,0,0363 91DE D1D9 B8C9 D74B
575603,Loft right in the city centre,2830952,Henning,,Centrum-Oost,52.36112,4.89462,Entire home/apt,245,5,18,2022-08-08,0.18,2,9,1,0363 6703 A9A1 6C28 ECD5
579851,Private Studio on Spectacular Houseboat,2851886,Sonja,,Westerpark,52.39144,4.88436,Private room,125,2,521,2022-08-21,4.32,1,17,52,0363 74BB 1569 D1B7 ADBE
582028,Quiet large park side apartment for 2 adults 1 kid,2865851,Oliver,,Slotervaart,52.36022,4.84346,Entire home/apt,163,5,11,2022-06-17,0.10,1,132,1,0363 6AE3 C6BD AA79 AB13
582382,Amsterdam Family Home,2868026,Emer,,Oud-Noord,52.39442,4.91478,Entire home/apt,170,5,20,2019-12-27,0.16,1,0,0,0363 DAA7 B561 AC39 BB65
588020,Large 3 bedroom apartment surrounde,1759884,Ivan,,Centrum-Oost,52.36918,4.91316,Entire home/apt,360,3,223,2022-08-20,2.42,3,230,40,Exempt
590236,Our Cozy Third floor Home,2912339,Kelli,,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,140,4,43,2022-07-20,0.36,1,7,3,0363 058A D932 3063 B1F7
590681,Beautiful large family garden house Vondelpark,2914846,Lotte,,Zuid,52.34788,4.8506,Entire home/apt,380,2,17,2022-08-19,0.14,1,0,6,0363 9A2B 5A8C 1B13 AF1B
606871,Modern Houseboat | Canal Views! | JORDAAN AREA,3007402,Diewert,,Westerpark,52.37621,4.87075,Private room,177,1,368,2022-09-02,3.17,1,334,72,0363 48AF 9151 13B6 2543
608432,Sleep at Amy's B'n'B Front Room,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,120,1,738,2022-09-02,6.02,2,50,103,0363 AACD 8155 9F76 50DA
613088,Your own cottage in the countryside,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,87,2,399,2022-08-11,3.27,13,269,25,0363 C2FC D0FB 68D9 2F58
613110,"All u need, nice place in amsterdam",3040855,Michael,,IJburg - Zeeburgereiland,52.36368,4.9794,Private room,87,1,290,2022-09-05,2.37,1,238,11,0363680E27996E5AC8C6
623123,Beautiful and spacious apartment with big rooftop,2695123,Janne,,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,450,3,25,2022-08-28,0.21,1,0,5,0363 C125 F449 C407 9F89
627188,Sleep at Amy's B'n'B Garden Room,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,128,1,478,2022-09-04,3.89,2,51,83,0363 AACD 8155 9F76 50DA
627213,"Houseboat near museums, the Pijp, two lovely cats",3113556,Ingmar,,Zuid,52.35094,4.88552,Entire home/apt,100,7,14,2018-06-21,0.11,1,0,0,0363 DDEB 4C21 A90A B9DD
634170,"'Westerpark Sanctuary', Office-Apt. across W-Park.",3078488,Carolina,,Westerpark,52.38388,4.86562,Entire home/apt,109,14,148,2022-06-30,1.22,1,48,4,Exempt
653459,"VeryBig luxurious family house A""dam own parking",1634910,Derk,,Buitenveldert - Zuidas,52.32237,4.86024,Entire home/apt,240,6,18,2022-07-31,0.29,1,0,2,0363 05B8 09C7 203A E42A
653596,Characteristic canalhouse near Leidse square!,3287406,Jeroen,,De Baarsjes - Oud-West,52.36976,4.87374,Entire home/apt,250,3,29,2018-10-23,0.24,1,55,0,0363 0776 69DB 07E7 317E
654931,"A-location, ensuite bathroom, centre - Milkmaid -",3278419,Matthijs,,Centrum-West,52.37167,4.8948,Hotel room,113,1,754,2022-09-05,6.20,2,88,65,0363 4587 2DC3 051C 3FCA
655216,A-location ensuite bathroom centre 'Pearl Earring',3278419,Matthijs,,Centrum-West,52.37098,4.89434,Hotel room,125,1,656,2022-09-04,5.42,2,95,69,0363 4587 2DC3 051C 3FCA
658063,"Superior, 100m2",3317069,Marfi,,De Baarsjes - Oud-West,52.36188,4.87694,Private room,189,3,117,2022-05-27,0.99,1,37,6,ABCD 1234 AB12 89EF A0F9
660856,Large 4 floor art-filled family-friendly townhouse,3336575,Maaike,,Watergraafsmeer,52.3551,4.93262,Entire home/apt,275,28,40,2022-07-24,0.34,1,31,3,0363 528E 3889 FA20 43A1
664697,Design Waterfront flat near station,1406783,Alicia,,Oud-Noord,52.38537,4.90241,Entire home/apt,87,30,63,2018-06-30,0.52,2,297,0,Exempt
667305,"Green, sportive experience in A'dam",3375589,Fred Alexander,,Noord-West,52.41878,4.89397,Entire home/apt,146,5,23,2022-08-05,0.21,1,337,7,0363 1466 FFED D078 9856
679838,Penthouse with roof terrace in Amsterdam centrum,22642887,Marianne,,Centrum-Oost,52.36716,4.90462,Entire home/apt,571,2,56,2022-07-29,0.56,1,0,5,0363 0B70 756D 626C F77C
683431,Nice Room near to RAI and downtown,2309485,Ned,,De Pijp - Rivierenbuurt,52.34557,4.8962,Private room,81,1,530,2022-09-05,5.37,1,80,84,0363 0BD4 E0F6 EDD1 59C7
685990,Room privacy near centre Amsterdam,3498674,Nadia,,Geuzenveld - Slotermeer,52.38296,4.83786,Private room,73,4,331,2022-09-07,2.73,2,318,32,0363 E7AB 3034 7C9C 1348
689623,City beach apartment,2272095,Katinka,,Centrum-Oost,52.3737,4.92581,Entire home/apt,120,14,88,2022-08-15,0.77,1,65,4,0363 4EFA 63D8 DADD 844A
690757,SPACIOUS LOFT in 17C CANAL MANSION,3529778,Gijs,,Centrum-West,52.374,4.89902,Private room,188,2,483,2022-08-28,4.00,2,309,51,0363 92E1 9539 83BB 3AA7
693675,2 rooms in beautiful appartment near Vondelpark,3548522,Susanne,,De Baarsjes - Oud-West,52.35925,4.8514,Entire home/apt,95,1,11,2018-09-02,0.10,3,37,0,0363 8350 2AA2 28A1 C258
698672,Cosy and stylish flat in popular Oud-West,2302855,Miriam,,De Baarsjes - Oud-West,52.36706,4.86465,Entire home/apt,149,3,57,2022-08-19,0.47,1,0,4,03637BFAE25DBC11BCF7
702120,Comfortable apartment near city centre,3505991,Mart,,Westerpark,52.38384,4.87303,Entire home/apt,136,2,25,2020-01-01,0.21,1,77,0,0363 B031 C709 C426 F55D
702894,"Cozy and light in Bos en Lommer, 96 m²",3607736,Elmar,,Bos en Lommer,52.37449,4.84762,Entire home/apt,240,5,85,2020-01-05,0.70,2,0,0,0363 6182 608D 7182 A73D
705509,Amsterdam Sweet Unit Museumplein,3648704,Michael,,Zuid,52.35315,4.87256,Entire home/apt,112,3,283,2022-09-01,2.44,2,27,24,0363 EBCE FBA1 BD42 BA22
708528,Independent Studio in 'De Pijp',3644216,Jeremie,,De Pijp - Rivierenbuurt,52.35537,4.89477,Private room,150,3,201,2022-09-05,2.49,1,22,15,0363 98FB 79D3 2FEE 28D8
713577,Master Bedroom on Canal of Amsterdam City Center,2212219,Patrick & Guus,,Oud-Oost,52.35673,4.90778,Private room,96,1,366,2022-09-03,3.03,1,104,134,0363 98F3 BCE7 CC51 4772
716107,Loft style home nearby city centre,3689867,Marijke,,De Baarsjes - Oud-West,52.36462,4.86824,Entire home/apt,120,2,153,2022-08-21,1.30,1,1,2,0363 0014 1E57 F097 81A5
719623,Canal house right in the Jordaan (center),3713242,Barbara,,Centrum-West,52.38284,4.89007,Entire home/apt,160,2,87,2022-08-30,0.73,3,251,2,0363 5BEE FB55 D645 1695
721291,Sunny apt great location free bikes,3723928,Katarina,,Westerpark,52.37752,4.87086,Private room,79,2,199,2022-08-28,1.65,1,246,15,0363 0457 C25F CA42 36BC
728144,Beautiful loft in center Amsterdam,3775786,Aren,,Centrum-Oost,52.36112,4.89632,Entire home/apt,303,3,129,2022-07-24,1.08,1,0,10,0363 5EC5 F20A E363 206D
728145,Superb loft apartment in de Pijp!,1902079,Martijn,,De Pijp - Rivierenbuurt,52.35344,4.8954,Entire home/apt,290,1,63,2022-07-03,0.52,1,247,10,0363 F5CC 615C 7B38 253B
729317,Suite 2 Stay - studio Beautiful Barok - canal area,3788673,Laurens En Petra,,Centrum-Oost,52.36052,4.89568,Private room,135,3,108,2022-08-22,1.64,2,37,21,0363 EC5F 15FE 498F 9173
730916,Bed & Breakfast in Oud West Area,3267693,Santiago & Tony,,Westerpark,52.3731,4.86859,Private room,85,3,384,2022-09-05,3.22,1,288,29,0363 AC47 89D1 F988 70CA
733654,FAMILY HOME WITH SUNNY PRIVATE GARDEN IN CENTER,3823268,Geerke,,Centrum-Oost,52.37098,4.9227,Entire home/apt,168,5,12,2022-08-13,0.10,1,0,2,0363 14BA 84A0 A482 3B0B
740616,Private Room at our LoveNest in Amsterdam,3846003,Patricia And Carlos,,Centrum-Oost,52.36256,4.9108,Private room,99,3,77,2019-06-15,0.64,1,0,0,0363 52AD E309 9B3D 72F7
741043,Modern  stylish villa: My Amsterdam Houseboat,3877342,Nicole,,Westerpark,52.37654,4.87003,Entire home/apt,495,2,46,2022-06-19,0.39,3,204,5,0363 96BE 3082 7DDB 9575
742160,Sailing ship group stays in Amsterdam,176944339,Dion,,Centrum-Oost,52.36866,4.92071,Entire home/apt,664,2,113,2020-09-06,0.96,2,298,0,Exempt
744659,Private luxury B&B near Amstel,3518386,Kristel,,Oud-Oost,52.35659,4.90827,Private room,111,1,166,2022-07-25,1.39,2,214,34,0363 C453 AB43 D5F5 6DAC
746067,Beautiful apartment in canal house,3713242,Barbara,,Centrum-West,52.38295,4.88726,Entire home/apt,136,3,82,2021-10-17,0.71,3,0,2,0363 1B4D A947 7005 0B07
747847,nice cozy room near Vondelpark,3548522,Susanne,,De Baarsjes - Oud-West,52.36131,4.8519,Private room,60,2,40,2018-06-23,0.38,3,37,0,0363 8350 2AA2 28A1 C258
754020,Spacious Sunny Apartment - 4p,3966326,Hf,,De Pijp - Rivierenbuurt,52.34829,4.91047,Entire home/apt,165,3,73,2022-06-04,0.62,1,4,3,0363 1DC6 7A53 D958 DFA2
